"sender" "receiver" "channel" "packetnum" "rssi"
0 3 16 4 -68
0 3 16 5 -68
0 3 16 6 -68
0 3 16 7 -68
0 3 16 8 -68
0 3 16 9 -68
0 3 16 10 -68
0 3 17 1 -71
0 3 17 2 -71
0 3 17 3 -71
0 3 17 4 -71
0 3 17 5 -71
0 3 17 6 -71
0 3 17 7 -71
0 3 17 8 -71
0 3 17 9 -71
0 3 17 10 -71
0 3 18 1 -73
0 3 18 2 -73
0 3 18 3 -73
0 3 18 4 -73
0 3 18 5 -73
0 3 18 6 -73
0 3 18 7 -73
0 3 18 8 -73
0 3 18 9 -73
0 3 18 10 -73
0 3 19 1 -67
0 3 19 2 -67
0 3 19 3 -67
0 3 19 4 -67
0 3 19 5 -67
0 3 19 6 -67
0 3 19 7 -67
0 3 19 8 -67
0 3 19 9 -67
0 3 19 10 -67
0 3 20 1 -70
0 3 20 2 -70
0 3 20 3 -70
0 3 20 4 -70
0 3 20 5 -70
0 3 20 6 -70
0 3 20 7 -70
0 3 20 8 -70
0 3 20 9 -70
0 3 20 10 -70
0 3 21 1 -74
0 3 21 2 -74
0 3 21 3 -74
0 3 21 4 -74
0 3 21 5 -74
0 3 21 6 -74
0 3 21 7 -74
0 3 21 8 -74
0 3 21 9 -74
0 3 21 10 -74
0 3 22 1 -69
0 3 22 2 -69
0 3 22 3 -69
0 3 22 4 -69
0 3 22 5 -69
0 3 22 6 -69
0 3 22 7 -69
0 3 22 8 -69
0 3 22 9 -69
0 3 22 10 -69
0 3 23 1 -71
0 3 23 2 -71
0 3 23 3 -71
0 3 23 4 -71
0 3 23 5 -71
0 3 23 6 -71
0 3 23 7 -71
0 3 23 8 -71
0 3 23 9 -71
0 3 23 10 -71
0 3 24 1 -78
0 3 24 2 -77
0 3 24 3 -78
0 3 24 4 -78
0 3 24 5 -78
0 3 24 6 -78
0 3 24 7 -78
0 3 24 8 -78
0 3 24 9 -78
0 3 24 10 -78
0 3 25 1 -82
0 3 25 2 -82
0 3 25 3 -82
0 3 25 4 -82
0 3 25 5 -82
0 3 25 6 -82
0 3 25 7 -82
0 3 25 8 -82
0 3 25 9 -81
0 3 25 10 -82
0 3 26 1 -74
0 3 26 2 -74
0 3 26 3 -74
0 3 26 4 -74
0 3 26 5 -74
0 3 26 6 -74
0 3 26 7 -74
0 3 26 8 -74
0 3 26 9 -74
0 3 26 10 -74
0 13 11 1 -68
0 13 11 2 -68
0 13 11 3 -68
0 13 11 4 -68
0 13 11 5 -68
0 13 11 6 -68
0 13 11 7 -68
0 13 11 8 -68
0 13 11 9 -68
0 13 11 10 -68
0 13 12 1 -86
0 13 12 2 -86
0 13 12 3 -87
0 13 12 4 -86
0 13 12 5 -86
0 13 12 6 -87
0 13 12 7 -86
0 13 12 8 -86
0 13 12 9 -86
0 13 12 10 -86
0 13 13 1 -69
0 13 13 2 -69
0 13 13 3 -69
0 13 13 4 -69
0 13 13 5 -69
0 13 13 6 -69
0 13 13 7 -69
0 13 13 8 -69
