"sender" "receiver" "channel" "packetnum" "rssi"
0 2 24 15 -54
0 2 24 16 -51
0 2 24 17 -64
0 2 24 18 -47
0 2 24 19 -53
0 2 24 20 -53
0 2 24 21 -56
0 2 24 22 -54
0 2 24 23 -57
0 2 24 24 -59
0 2 24 25 -51
0 2 24 26 -60
0 2 24 27 -51
0 2 24 28 -50
0 2 24 29 -51
0 2 24 30 -56
0 2 24 31 -45
0 2 24 32 -58
0 2 24 33 -51
0 2 24 34 -56
0 2 24 35 -54
0 2 24 36 -61
0 2 24 37 -50
0 2 24 38 -49
0 2 24 39 -58
0 2 24 40 -56
0 2 25 1 -54
0 2 25 2 -50
0 2 25 3 -54
0 2 25 4 -66
0 2 25 5 -50
0 2 25 6 -52
0 2 25 7 -50
0 2 25 8 -60
0 2 25 9 -65
0 2 25 10 -50
0 2 25 11 -45
0 2 25 12 -52
0 2 25 13 -53
0 2 25 14 -50
0 2 25 15 -55
0 2 25 16 -56
0 2 25 17 -47
0 2 25 18 -55
0 2 25 19 -52
0 2 25 20 -50
0 2 25 21 -56
0 2 25 22 -57
0 2 25 23 -50
0 2 25 24 -55
0 2 25 25 -49
0 2 25 26 -51
0 2 25 27 -50
0 2 25 28 -58
0 2 25 29 -53
0 2 25 30 -54
0 2 25 31 -51
0 2 25 32 -48
0 2 25 33 -63
0 2 25 34 -49
0 2 25 35 -50
0 2 25 36 -54
0 2 25 37 -49
0 2 25 38 -53
0 2 25 39 -59
0 2 25 40 -67
0 2 26 1 -56
0 2 26 2 -62
0 2 26 3 -50
0 2 26 4 -50
0 2 26 5 -58
0 2 26 6 -55
0 2 26 7 -52
0 2 26 8 -52
0 2 26 9 -52
0 2 26 10 -49
0 2 26 11 -58
0 2 26 12 -55
0 2 26 13 -58
0 2 26 14 -50
0 2 26 15 -48
0 2 26 16 -54
0 2 26 17 -52
0 2 26 18 -55
0 2 26 19 -50
0 2 26 20 -48
0 2 26 21 -52
