"expNo" "verdict" "rank" "JP1" "JP2" "JP3" "JP4" "JP5" "JP6" "JP7" "JP8" "JP9" "JP10"
61 0 2 1 0.691472868217054 0.342525259797922 0.320151914678928 0.274215036730854 0.274215036730854 0.241906932255937 0.181851933732148 0.0909259668660741 0.0909259668660741
62 1 1 1 0.68944099378882 0.336826134370111 0.314721919302072 0.27414308113119 0.27414308113119 0.24179581492102 0.179591082451712 0.0897955412258561 0.0897955412258561
62 0 2 1 0.68944099378882 0.336826134370111 0.314721919302072 0.27414308113119 0.27414308113119 0.24179581492102 0.179591082451712 0.0897955412258561 0.0897955412258561
63 0 1 1 0.68798751950078 0.341327141457751 0.319223124766963 0.274636239584059 0.274636239584059 0.24208675933706 0.181906999953836 0.0912386206665007 0.0912386206665007
63 1 2 1 0.68798751950078 0.341327141457751 0.319223124766963 0.274636239584059 0.274636239584059 0.24208675933706 0.181906999953836 0.0906683792873351 0.0906683792873351
64 0 1 1 0.687402799377916 0.341028760500086 0.320515752349705 0.27883433164055 0.27883433164055 0.245836185884272 0.187190105479148 0.0937419837485843 0.0937419837485843
64 1 2 1 0.687402799377916 0.341028760500086 0.320515752349705 0.27883433164055 0.27883433164055 0.245836185884272 0.187190105479148 0.0934481217305636 0.0934481217305636
65 0 1 1 0.683229813664596 0.337384381670288 0.3168305040351 0.26840662787253 0.26840662787253 0.2367362293035 0.179750204367994 0.0901550869260034 0.0901550869260034
65 1 2 1 0.683229813664596 0.337384381670288 0.3168305040351 0.26840662787253 0.26840662787253 0.2367362293035 0.179750204367994 0.089595117441991 0.089595117441991
66 1 1 1 0.690513219284603 0.342049891905686 0.319776875688572 0.27914752675953 0.27914752675953 0.246258274711279 0.182885515904461 0.0914427579522303 0.0914427579522303
66 0 2 1 0.690513219284603 0.342049891905686 0.319776875688572 0.27914752675953 0.27914752675953 0.246258274711279 0.182885515904461 0.0914427579522303 0.0914427579522303
67 1 1 1 0.693146417445483 0.342823575861754 0.322477963050967 0.282289267956027 0.282289267956027 0.248980799760625 0.187083338367621 0.0935416691838104 0.0935416691838104
67 0 2 1 0.693146417445483 0.342823575861754 0.322477963050967 0.282289267956027 0.282289267956027 0.248980799760625 0.187083338367621 0.0935416691838104 0.0935416691838104
68 1 1 1 0.691472868217054 0.34146808307015 0.318561487793993 0.275271004962313 0.275271004962313 0.2428861808491 0.183769238361489 0.0918846191807444 0.0918846191807444
68 0 2 1 0.691472868217054 0.34146808307015 0.318561487793993 0.275271004962313 0.275271004962313 0.2428861808491 0.183769238361489 0.0918846191807444 0.0918846191807444
69 0 1 1 0.695046439628483 0.339047043721211 0.318048661859323 0.279598002739017 0.279598002739017 0.246607087961552 0.185651946163146 0.0931169635928003 0.0931169635928003
