"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
85 1 1 1 0.686821705426357 0.487062404870624 0.960665658093797 0.868343195266272 1 0.881656804733728 0.775139664804469 0.5 1
85 0 2 1 0.686821705426357 0.487062404870624 0.960665658093797 0.868343195266272 1 0.881656804733728 0.775139664804469 0.5 1
86 1 1 1 0.703588143525741 0.483333333333333 0.934947049924357 0.881638846737481 1 0.881656804733728 0.765119549929676 0.5 1
86 0 2 1 0.703588143525741 0.483333333333333 0.934947049924357 0.881638846737481 1 0.881656804733728 0.765119549929676 0.5 1
87 0 1 1 0.6875 0.487062404870624 0.936267071320182 0.874811463046757 1 0.880882352941176 0.762829403606103 0.500782472613459 1
87 1 2 1 0.6875 0.487062404870624 0.936267071320182 0.874811463046757 1 0.880882352941176 0.762829403606103 0.499217527386541 1
88 0 1 1 0.686427457098284 0.491551459293395 0.933021806853583 0.864705882352941 1 0.882005899705015 0.769874476987448 0.500782472613459 1
88 1 2 1 0.686427457098284 0.491551459293395 0.933021806853583 0.864705882352941 1 0.882005899705015 0.769874476987448 0.499217527386541 1
89 1 1 1 0.689335394126739 0.486280487804878 0.931782945736434 0.874062968515742 1 0.881831610044313 0.75207756232687 0.5 1
89 0 2 1 0.689335394126739 0.486280487804878 0.931782945736434 0.874062968515742 1 0.881831610044313 0.75207756232687 0.5 1
90 1 1 1 0.68895800933126 0.496894409937888 0.937878787878788 0.875757575757576 1 0.879411764705882 0.763888888888889 0.5 1
90 0 2 1 0.68895800933126 0.496894409937888 0.937878787878788 0.875757575757576 1 0.879411764705882 0.763888888888889 0.5 1
91 1 1 1 0.687306501547988 0.497667185069984 0.931570762052877 0.881638846737481 1 0.882179675994109 0.773504273504274 0.5 1
91 0 2 1 0.687306501547988 0.497667185069984 0.931570762052877 0.881638846737481 1 0.882179675994109 0.773504273504274 0.5 1
92 1 1 1 0.68895800933126 0.49306625577812 0.936390532544379 0.866165413533835 1 0.879588839941263 0.765536723163842 0.5 1
92 0 2 1 0.68895800933126 0.49306625577812 0.936390532544379 0.866165413533835 1 0.879588839941263 0.765536723163842 0.5 1
93 0 1 1 0.686335403726708 0.477611940298507 0.937784522003035 0.872727272727273 0.998435054773083 0.882179675994109 0.762306610407876 0.502340093603744 1
93 1 2 1 0.686335403726708 0.477611940298507 0.937784522003035 0.872727272727273 0.998435054773083 0.882179675994109 0.762306610407876 0.497659906396256 1
